text,label
"Hello how are you today",English
"The weather is nice",English
"Good morning everyone",English
"Thank you very much",English
"Have a great day",English
"How can I help you",English
"This is wonderful",English
"See you later",English
"What time is it",English
"I am learning English",English
"Bonjour comment allez vous",French
"Je suis très heureux",French
"Merci beaucoup monsieur",French
"Au revoir et bonne journée",French
"Comment ça va aujourd'hui",French
"Quelle heure est-il",French
"J'apprends le français",French
"C'est magnifique",French
"À bientôt mon ami",French
"Excusez-moi s'il vous plaît",French
"Hola como estas hoy",Spanish
"Muchas gracias señor",Spanish
"Que hora es ahora",Spanish
"Hasta luego amigo",Spanish
"Buenos días a todos",Spanish
"Que tengas buen día",Spanish
"Como puedo ayudarte",Spanish
"Esto es maravilloso",Spanish
"Nos vemos más tarde",Spanish
"Estoy aprendiendo español",Spanish
"Le sport est amusant",French
"El café es importante",Spanish
"The art is amazing",English
"The sushi is pleasant",English
"La danza es emocionante",Spanish
"La science est fascinant",French
"The movies is inspiring",English
"La musique est génial",French
"La pizza es inspirador",Spanish
"The travel is wonderful",English
"Le jardinage est amusant",French
"El baile es divertido",Spanish
"La naturaleza es relajante",Spanish
"Le café est passionnant",French
"The gardening is fantastic",English
"El arte es hermoso",Spanish
"Le chocolat est relaxant",French
"The technology is relaxing",English
"La jardinería es emocionante",Spanish
"Le sport est important",French
"The running is amazing",English
"La música es increíble",Spanish
"Le films est fascinant",French
"The painting is wonderful",English
"El viaje es emocionante",Spanish
"La peinture est fantastique",French
"The science is fascinating",English
"La carrera es genial",Spanish
"Le sushi est relaxant",French
"The music is interesting",English
"La peinture est inspirant",French
"El canto es educativo",Spanish
"The pizza is useful",English
"Le chocolat est important",French
"La natación es increíble",Spanish
"Le codage est utile",French
"The nature is relaxing",English
"El deporte es emocionante",Spanish
"La technologie est fantastique",French
"The books is inspiring",English
"El té es maravilloso",Spanish
"Le voyage est intéressant",French
"The chocolate is pleasant",English
"El libro es fascinante",Spanish
"La course est relaxant",French
"The sushi is great",English
"La musique est utile",French
"El arte es fascinante",Spanish
"The science is amazing",English
"Le voyage est amusant",French
"El deporte es importante",Spanish
"The sports is wonderful",English
"La pizza est merveilleux",French
"El chocolate es delicioso",Spanish
"The technology is fantastic",English
"Le codage est fascinant",French
"La naturaleza es hermosa",Spanish
"The books is useful",English
"La danse est agréable",French
"El arte es inspirador",Spanish
"The travel is inspiring",English
"La science est important",French
"El café es maravilloso",Spanish
"The coding is great",English
"Le sport est génial",French
"El té es relajante",Spanish
"The painting is relaxing",English
"La musique est fascinant",French
"El libro es educativo",Spanish
"The nature is inspiring",English
"Le chocolat est passionnant",French
"El sushi es delicioso",Spanish
"The movies is educational",English
"La technologie est intéressant",French
"El deporte es útil",Spanish
"The gardening is interesting",English
"La danse est fantastique",French
"El viaje es inspirador",Spanish
"The art is inspiring",English
"Le café est agréable",French
"El canto es increíble",Spanish
"The science is interesting",English
"La natation est amusant",French
"El baile es fascinante",Spanish
"The pizza is amazing",English
"La musique est amusant",French
"El libro es relajante",Spanish
"The sports is useful",English
"Le jardinage est relaxant",French
"El chocolate es fascinante",Spanish
"The painting is fantastic",English
"La course est inspirant",French
"El arte es genial",Spanish
"The technology is fascinating",English
"Le voyage est fantastique",French
"El café es agradable",Spanish
"The books is amazing",English
"La danse est inspirant",French
"El deporte es genial",Spanish
"The music is wonderful",English
"Le films est intéressant",French
"El canto es importante",Spanish
"The science is useful",English
"La natation est intéressant",French
"El sushi es emocionante",Spanish
"The travel is relaxing",English
"Le codage est amusant",French
"El libro es importante",Spanish
"The gardening is relaxing",English
"La nature est passionnant",French
"El chocolate es importante",Spanish
"The art is fantastic",English
"Le café est formidable",French
"El deporte es fascinante",Spanish
"The sports is inspiring",English
"La peinture est relaxant",French
"El viaje es importante",Spanish
"The coding is useful",English
"La musique est merveilleux",French
"El té es fantástico",Spanish
"The pizza is fascinating",English
"Le jardinage est fascinant",French
"El canto es relajante",Spanish
"The nature is wonderful",English
"Le sport est passionnant",French
"El arte es educativo",Spanish
"The books is interesting",English
"La danse est amusant",French
"El chocolate es agradable",Spanish
"The science is relaxing",English
"Le films est passionnant",French
"El deporte es relajante",Spanish
"The travel is fantastic",English
"La technologie est amusant",French
"El libro es genial",Spanish
"The painting is inspiring",English
"Le café est fascinant",French
"El sushi es importante",Spanish
"The music is relaxing",English
"La musique est intéressant",French
"El té es agradable",Spanish
"The sports is fascinating",English
"Le chocolat est génial",French
"El arte es emocionante",Spanish
"The science is exciting",English
"La natation est fascinant",French
"El baile es importante",Spanish
"The books is relaxing",English
"Le jardinage est intéressant",French
"El viaje es educativo",Spanish
"The art is relaxing",English
"Le codage est important",French
"El deporte es educativo",Spanish
"The painting is educational",English
"La course est amusant",French
"El canto es fascinante",Spanish
"The technology is educational",English
"Le café est génial",French
"El chocolate es útil",Spanish
"The music is educational",English
"La danse est passionnant",French
"El té es educativo",Spanish
"The travel is useful",English
"La musique est relaxant",French
"El libro es maravilloso",Spanish
"The books is educational",English
"Le films est amusant",French
"El deporte es emocionante",Spanish
"The painting is amazing",English
"La société est fascinant",French
"El canto es maravilloso",Spanish
"The nature is educational",English
"Le sport est utile",French
"El arte es relajante",Spanish
"The science is wonderful",English
"Le chocolat est agréable",French
"El viaje es fascinante",Spanish
"The technology is amazing",English
"La course est important",French
"El deporte es maravilloso",Spanish
"The music is fantastic",English
"Le café est inspirant",French
"El té es fascinante",Spanish
"The sports is relaxing",English
"La musique est magnifique",French
"El libro es interesante",Spanish
"The art is useful",English
"Le codage est génial",French
"El canto es inspirador",Spanish
"The painting is interesting",English
"La danse est génial",French
"El chocolate es inspirador",Spanish
"The travel is educational",English
"Le jardinage est éducatif",French
"El deporte es fascinante",Spanish
"The nature is amazing",English
"Le sport est fascinant",French
"El arte es genial",Spanish
"The books is useful",English
"Le café est éducatif",French
"El sushi es relajante",Spanish
"The science is fantastic",English
"La musique est passionnant",French
"El viaje es relajante",Spanish
"The technology is interesting",English
"Le chocolat est intéressant",French
"El canto es útil",Spanish
"The music is inspiring",English
"Le films est fantastique",French
"El libro es sorprendente",Spanish
"The art is interesting",English
"La danse est intéressant",French
"El baile es divertido",Spanish
"The sports is important",English
"Le jardinage est utile",French
"El chocolate es relajante",Spanish
"The nature is fascinating",English
"Le sport est éducatif",French
"El deporte es importante",Spanish
"The books is relaxing",English
"La musique est éducatif",French
"El té es interesante",Spanish
"The technology is wonderful",English
"Le café est intéressant",French
"El arte es útil",Spanish
"The painting is useful",English
"La course est fascinant",French
"El canto es importante",Spanish
"The science is important",English
"Le chocolat est éducatif",French
"El libro es útil",Spanish
"The music is useful",English
"Le films est éducatif",French
"El deporte es genial",Spanish
"The art is relaxing",English
"La natation est relaxant",French
"El viaje es genial",Spanish
"The travel is wonderful",English
"Le jardinage est important",French
"El chocolate es fascinante",Spanish
"The books is fascinating",English
"La danse est éducatif",French
"El deporte es educativo",Spanish
"The science is relaxing",English
"Le café est fantastique",French
"El arte es emocionante",Spanish
"The technology is inspiring",English
"Le sport est relaxant",French
"El té es inspirador",Spanish
"The painting is fascinating",English
"La musique est amusant",French
"El libro es emocionante",Spanish
"The nature is relaxing",English
"Le films est relaxant",French
"El sushi es útil",Spanish
"The music is amazing",English
"La danse est formidable",French
"El deporte es relajante",Spanish
"The travel is inspiring",English
"Le café est important",French
"El canto es emocionante",Spanish
"The science is amazing",English
"La peinture est éducatif",French
"El chocolate es inspirador",Spanish
"The books is amazing",English
"Le jardinage est génial",French
"El arte es interesante",Spanish
"The art is fantastic",English
"Le sport est passionnant",French
"El sushi es fascinante",Spanish
"The sports is educational",English
"La musique est fascinant",French
"El deporte es emocionante",Spanish
"The music is enjoyable",English
"Le café est fascinant",French
"El té es relajante",Spanish
"The technology is relaxing",English
"La danse est amusant",French
"El viaje es útil",Spanish
"The science is educational",English
"Le jardinage est relaxant",French
"El arte es agradable",Spanish
"The books is interesting",English
"La musique est intéressante",French
"El canto es genial",Spanish
"The nature is interesting",English
"Le chocolat est important",French
"El deporte es divertido",Spanish
"The art is educational",English
"Le café est agréable",French
"El té es educativo",Spanish
"The painting is educational",English
"La danse est fascinante",French
"El libro es fascinante",Spanish
"The music is fantastic",English
"Le sport est intéressant",French
"El chocolate es genial",Spanish
"The technology is fascinating",English
"Le films est utile",French
"El arte es inspirador",Spanish
"The books is relaxing",English
"La musique est utile",French
"El deporte es educativo",Spanish
"The science is fascinating",English
"Le café est utile",French
"El sushi es maravilloso",Spanish
"The art is enjoyable",English
"La danse est relaxant",French
"El libro es genial",Spanish
"The sports is great",English
"Le jardinage est fascinant",French
"El chocolate es educativo",Spanish
"The music is engaging",English
"La musique est relaxant",French
"El deporte es interesante",Spanish
"The science is fascinating",English
"Le chocolat est génial",French
"El arte es fantástico",Spanish
"The technology is amazing",English
"La danse est intéressant",French
"El té es fascinante",Spanish
"The books is amazing",English
"Le café est fantastique",French
"El deporte es genial",Spanish
"The art is magnificent",English
"Le sport est génial",French
"El sushi es educativo",Spanish
"The music is delightful",English
"La musique est génial",French
"El libro es inspirador",Spanish
"The painting is amazing",English
"Le chocolat est fascinant",French
"El arte es útil",Spanish
"The science is amazing",English
"Le café est inspirant",French
"El té es importante",Spanish
"The sports is interesting",English
"La danse est fascinant",French
"El deporte es útil",Spanish
"The books is wonderful",English
"Le jardinage est amusant",French
"El chocolate es maravilloso",Spanish
"The nature is wonderful",English
"La musique est passionnée",French
"El arte es fascinante",Spanish
"The technology is exciting",English
"Le films est intéressant",French
"El viaje es increíble",Spanish
"The art is intriguing",English
"Le sport est relaxant",French
"El sushi es genial",Spanish
"The music is superb",English
"La danse est divertissant",French
"El libro es hermoso",Spanish
"The science is inspirational",English
"Le café est précieux",French
"El deporte es fenomenal",Spanish
"The painting is relaxing",English
"Le jardinage est intéressant",French
"El chocolate es delicioso",Spanish
"The nature is delightful",English
"La musique est relaxante",French
"El arte es magnífico",Spanish
"The books is informative",English
"Le chocolat est riche",French
"El té es energético",Spanish
"The technology is phenomenal",English
"Le sport est incroyable",French
"El canto es inspirador",Spanish
"The sports is dynamic",English
"La danse est énergétique",French
"El libro es informativo",Spanish
"The art is modern",English
"Le café est exquis",French
"El deporte es dinámico",Spanish
"The music is modern",English
"Le jardinage est thérapeutique",French
"El chocolate es exquisito",Spanish
"The science is groundbreaking",English
"La musique est innovante",French
"El arte es contemporáneo",Spanish
"The technology is innovative",English
"Le films est moderne",French
"El viaje es emocionante",Spanish
"The books is modern",English
"Le sport est moderne",French
"El té es rico",Spanish
"The painting is modern",English
"Le café est aromatique",French
"El canto es agradable",Spanish
"The music is powerful",English
"La danse est élégante",French
"El deporte es poderoso",Spanish
"The science is powerful",English
"Le jardinage est productif",French
"El chocolate es fuerte",Spanish